ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778127347136190600,852.9,80869.87,80869.87,80869.88,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127348151133700,851.8,80869.88,80869.87,80869.88,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127349154318100,850.8,80869.88,80869.87,80869.88,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127350167613500,849.8,80869.88,80869.87,80869.88,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127351180733900,848.8,80869.88,80869.87,80869.88,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127352186022500,847.8,80869.88,80869.87,80869.88,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127353200193900,846.8,80869.88,80869.87,80869.88,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127354206174100,845.8,80869.88,80869.87,80869.88,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127355221253300,844.8,80869.88,80869.87,80869.88,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127356225639400,843.8,80869.94,80869.93,80869.94,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127357241215300,842.8,80869.94,80869.93,80869.94,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127358256597700,841.7,80869.94,80869.93,80869.94,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127359267605800,840.7,80869.94,80869.93,80869.94,0.4300,0.4400,0.4350,80889.16,KXBTC15M-26MAY070030-30
1778127360280429400,839.7,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127361291129900,838.7,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127362302875700,837.7,80871.49,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127363304652200,836.7,80871.49,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127364318182200,835.7,80871.49,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127365333555300,834.7,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127366348333500,833.7,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127367360650000,832.6,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127368374552400,831.6,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
1778127369376569700,830.6,80871.48,80871.48,80871.49,0.4400,0.4600,0.4500,80889.16,KXBTC15M-26MAY070030-30
